Title,Style,Type,Description,Printful URL,Image,Active
Organic Mid-Light Crafter Tee,Dark Logo,Tee,"Stanley/Stella mid-weight organic cotton tee with a clean classic fit. Premium feel, GOTS certified.",https://www.printful.com/product-template/102126528/6b6802937bb94491b3faca669e8be8e2,,Yes
Organic Mid-Light Crafter Tee,Light Logo,Tee,"Stanley/Stella mid-weight organic cotton tee with a clean classic fit. Premium feel, GOTS certified.",https://www.printful.com/product-template/102126497/9d25cfc957d6da3680d072014b1800af,,Yes
Tri-Blend Tee,Dark Logo,Tee,Bella+Canvas soft drapey tri-blend with a vintage print effect. Lightweight and breathable.,https://www.printful.com/product-template/102126267/2c4207436fc86f2386730153fd3446a8,,Yes
Tri-Blend Tee,Light Logo,Tee,Bella+Canvas soft drapey tri-blend with a vintage print effect. Lightweight and breathable.,https://www.printful.com/product-template/101872747/1072ecfe318a038f63582bb9b6ca1a9b,,Yes
Women's Relaxed Tee,,Tee,Bella+Canvas 6400. Relaxed everyday tee for women's fits. Smooth Airlume cotton.,https://www.printful.com/product-template/101872821/d28ec8baa05eb1a84de58d35e8d54f9d,,Yes
Women's Heavyweight Boxy Tee,,Tee,"Comfort Colors mid-length boxy silhouette. Garment-dyed for softness, OEKO-TEX low-impact dyes.",https://www.printful.com/product-template/102124516/f21c0428edf02995bed41bc5243cf472,,Yes
Oversized Heavyweight Hoodie,Dark Logo,Hoodie,"Bella+Canvas 10oz heavyweight fleece in a roomy oversized cut. Double-layered hood, no drawcord.",https://www.printful.com/product-template/102127574/d910216ba4ed775334eb1df62cfb35f9,,Yes
Oversized Heavyweight Hoodie,Light Logo,Hoodie,"Bella+Canvas 10oz heavyweight fleece in a roomy oversized cut. Double-layered hood, no drawcord.",https://www.printful.com/product-template/101872225/20579648c41f8be5a4c3978e817fcce8,,Yes
Heavyweight Hooded Sweatshirt,,Hoodie,"Independent Trading Co. workhorse hoodie. Fleece-lined hood, structured durability.",https://www.printful.com/product-template/102124706/9848ade4309f7a83a1fd997acdab2e81,,Yes
Relax Hoodie,,Hoodie,"AS Colour 5161. Heavyweight cotton with brushed fleece, oversized streetwear cut.",https://www.printful.com/product-template/102124626/ca5bf7b1f100225bdf76a391787c9e77,,Yes
Garment-Dyed Hooded Sweatshirt,,Hoodie,Comfort Colors relaxed hoodie with washed-in softness from day one. Garment-dyed.,https://www.printful.com/product-template/102124473/4969dcdc8a648e5cc99e2d2f33bf40e0,,Yes
Organic Side Pocket Hoodie,,Hoodie,Stanley/Stella Sounder. Premium organic cotton with sleek side pockets. Eco-conscious flagship.,https://www.printful.com/product-template/102124346/41ba88824bc65bab83b125c5dcb96d8b,,Yes
Women's Cropped Hoodie,,Hoodie,Bella+Canvas cropped fit with raw hem and matching drawstrings. Statement piece.,https://www.printful.com/product-template/102127880/b8eecea78797b1de8b43943f7ebdaa8c,,Yes
Garment-Dyed Sweatshirt,,Sweatshirt,Comfort Colors garment-dyed crewneck. Old-favorite-from-day-one feel. Heavyweight without stiffness.,https://www.printful.com/product-template/102125256/dc37f181cd94919da5547a76dfb59d12,,Yes
Oversized Heavyweight Sweatshirt,,Sweatshirt,"Bella+Canvas 10oz crewneck companion to the oversized hoodie. Same heavyweight fleece, no hood.",,,No
Garment-Washed Baseball Cap,Style A,Hat,"Otto Cap 18-772. Soft, lived-in cap with garment-washed finish. Unstructured 6-panel low-profile.",https://www.printful.com/product-template/102125462/abb7b3cf5e90bd1dff55b334be0c6ef1,,Yes
Garment-Washed Baseball Cap,Style B,Hat,"Otto Cap 18-772. Soft, lived-in cap with garment-washed finish. Unstructured 6-panel low-profile.",https://www.printful.com/product-template/102125113/72fe2a70abc8c3c8361eb9fa5053afac,,Yes
Garment-Washed Baseball Cap,Style C,Hat,"Otto Cap 18-772. Soft, lived-in cap with garment-washed finish. Unstructured 6-panel low-profile.",https://www.printful.com/product-template/101975843/bc4b945058ca9803b791ad615d3e982a,,Yes
Classic Snapback,,Hat,Yupoong 6089M. Structured high-profile snapback with flat visor and premium wool-blend fabric.,https://www.printful.com/product-template/102125045/1d8798e80cdc3726d81ed91ff463b56c,,Yes
